bedroomCount,bathroomCount,habitableSurface,toiletCount,terraceSurface,postCode,gardenSurface,totalParkingCount,province_encoded,type_encoded,subtype_encoded,epcScore_encoded,hasAttic_encoded,hasGarden_encoded,hasAirConditioning_encoded,hasArmoredDoor_encoded,hasVisiophone_encoded,hasTerrace_encoded,hasOffice_encoded,hasSwimmingPool_encoded,hasFireplace_encoded,hasBasement_encoded,hasDressingRoom_encoded,hasDiningRoom_encoded,hasLift_encoded,hasHeatPump_encoded,hasPhotovoltaicPanels_encoded,hasLivingRoom_encoded,price
4.0,2.0,270.0,3.0,1.0,1040,100.0,0.0,1,2,2,3.0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,895000.0
4.0,2.0,375.0,2.0,15.0,1040,25.0,2.0,1,2,2,3.0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1095000.0
1.0,1.0,61.0,1.0,9.0,1040,20.0,0.0,1,1,1,5.0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,329000.0
6.0,2.0,330.0,3.0,30.0,1040,240.0,2.0,1,2,2,1.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1090000.0
1.0,1.0,80.0,1.0,12.0,1040,50.0,0.0,1,1,1,2.0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,230000.0
5.0,3.0,252.0,4.0,18.0,1040,88.0,0.0,1,2,2,4.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,795000.0
6.0,2.0,370.0,4.0,12.0,1040,3402.0,2.0,1,2,2,4.0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1125000.0
9.0,6.0,528.0,2.0,86.0,1040,90.0,2.0,1,2,7,4.0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1790000.0
6.0,5.0,850.0,2.0,60.0,1040,200.0,4.0,1,2,9,3.0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,2895000.0
4.0,4.0,300.0,4.0,4.0,1040,30.0,0.0,1,2,7,3.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1200000.0
6.0,4.0,706.0,2.0,30.0,1040,100.0,1.0,1,2,8,4.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1675000.0
