postal_code,nom_commune
1030,Schaerbeek
1040,Etterbeek
1083,Ganshoren
1090,Jette
1160,Auderghem
1190,Forest
1310,La Hulpe
1350,Orp-Jauche
1360,Perwez
1370,Jodoigne
1420,Braine-l’Alleud
1421,Braine-l’Alleud
1428,Braine-l’Alleud
1473,Genappe
1476,Genappe
1480,Tubize
1495,Villers-la-Ville
1500,Hal
1570,Pajottegem
1654,Beersel
1670,Pepingen
1731,Asse
1740,Ternat
1741,Ternat
1745,Opwijk
1755,Pajottegem
1790,Affligem
1831,Machelen
1930,Zaventem
1950,Kraainem
1980,Zemst
1981,Zemst
2040,Anvers
2170,Anvers
2220,Heist-op-den-Berg
2223,Heist-op-den-Berg
2230,Herselt
2242,Zandhoven
2260,Westerlo
2270,Herenthout
2275,Lille
2300,Turnhout
2370,Arendonk
2380,Ravels
2381,Ravels
2382,Ravels
2387,Baerle-Duc
2430,Laakdal
2431,Laakdal
2480,Dessel
2520,Ranst
2540,Hove
2547,Lint
2627,Schelle
2630,Aartselaar
2830,Willebroek
2860,Sint-Katelijne-Waver
2980,Zoersel
2990,Wuustwezel
3000,Louvain
3001,Louvain
3010,Louvain
3040,Huldenberg
3052,Oud-Heverlee
3060,Bertem
3061,Bertem
3128,Tremelo
3190,Boortmeerbeek
3202,Aarschot
3221,Holsbeek
3320,Hoegaarden
3360,Bierbeek
3381,Glabbeek
3384,Glabbeek
3391,Tielt-Winge
3401,Landen
3450,Geetbets
3500,Hasselt
3570,Alken
3580,Beringen
3581,Beringen
3600,Genk
3620,Lanaken
3723,Hasselt
3791,Fourons
3891,Gingelom
3920,Lommel
3930,Hamont-Achel
3941,Hechtel-Eksel
3971,Bourg-Léopold
3990,Peer
4000,Liège
4030,Liège
4040,Herstal
4050,Chaudfontaine
4053,Chaudfontaine
4102,Seraing
4120,Neupré
4121,Neupré
4122,Neupré
4163,Anthisnes
4210,Burdinne
4219,Wasseiges
4263,Braives
4280,Hannut
4367,Crisnée
4430,Ans
4431,Ans
4453,Juprelle
4460,Grâce-Hollogne
4600,Visé
4602,Visé
4608,Dalhem
4623,Fléron
4671,Blegny
4672,Blegny
4700,Eupen
4711,Lontzen
4721,La Calamine
4761,Bullange
4780,Saint-Vith
4801,Verviers
4802,Verviers
4837,Baelen
4841,Welkenraedt
4890,Thimister-Clermont
4920,Aywaille
4960,Malmedy
4980,Trois-Ponts
5001,Namur
5004,Namur
5022,Namur
5032,Gembloux
5060,Sambreville
5070,Fosses-la-Ville
5300,Andenne
5310,Eghezée
5353,Ohey
5374,Havelange
5377,Somme-Leuze
5380,Fernelmont
5500,Dinant
5504,Dinant
5521,Onhaye
5530,Yvoir
5537,Anhée
5544,Hastière
5550,Vresse-sur-Semois
5561,Houyet
5570,Beauraing
5573,Beauraing
5590,Ciney
5651,Walcourt
6000,Charleroi
6030,Charleroi
6044,Charleroi
6150,Anderlues
6181,Courcelles
6211,Les Bons Villers
6250,Aiseau-Presles
6540,Lobbes
6593,Momignies
6637,Fauvillers
6681,Sainte-Ode
6692,Vielsalm
6704,Arlon
6720,Habay
6723,Habay
6760,Virton
6780,Messancy
6832,Bouillon
6833,Bouillon
6850,Paliseul
6852,Paliseul
6860,Léglise
6927,Tellin
6940,Durbuy
6941,Durbuy
6950,Nassogne
6971,Tenneville
6980,La Roche-en-Ardenne
7021,Mons
7030,Mons
7031,Mons
7050,Jurbise
7062,Soignies
7070,Le Roeulx
7100,La Louvière
7133,Binche
7134,Binche
7141,Morlanwelz
7160,Chapelle-lez-Herlaimont
7191,Ecaussinnes
7320,Bernissart
7331,Saint-Ghislain
7334,Saint-Ghislain
7370,Dour
7501,Tournai
7502,Tournai
7503,Tournai
7600,Péruwelz
7601,Péruwelz
7602,Péruwelz
7603,Péruwelz
7611,Rumes
7618,Rumes
7623,Brunehaut
7641,Antoing
7700,Mouscron
7730,Estaimpuis
7760,Celles
7800,Ath
7804,Ath
7810,Ath
7860,Lessines
7861,Lessines
7862,Lessines
7910,Frasnes-lez-Anvaing
7971,Beloeil
7973,Beloeil
8210,Zedelgem
8377,Zuienkerke
8380,Bruges
8421,De Haan
8432,Middelkerke
8450,Bredene
8490,Jabbeke
8582,Avelgem
8600,Dixmude
8647,Lo-Reninge
8740,Pittem
8750,Wingene
8790,Waregem
8880,Ledegem
8956,Heuvelland
9040,Gand
9041,Gand
9042,Gand
9111,Saint-Nicolas
9120,Beveren-Kruibeke-Zwijndrecht
9180,Lokeren
9220,Hamme
9240,Zele
9270,Laarne
9300,Alost
9400,Ninove
9403,Ninove
9450,Haaltert
9520,Sint-Lievens-Houtem
9521,Sint-Lievens-Houtem
9600,Renaix
9630,Zwalin
9700,Audenarde
9750,Kruisem
9772,Kruisem
9810,Nazareth-De Pinte
9890,Gavere
9900,Eeklo
9940,Evergem
9970,Kaprijke
9981,Sint-Laureins
9982,Sint-Laureins
1000,Bruxelles
1020,Bruxelles
1080,Molenbeek-Saint-Jean
1200,Woluwe-Saint-Lambert
1301,Wavre
1340,Ottignies-Louvain-la-Neuve
1390,Grez-Doiceau
1450,Chastre
1461,Ittre
1490,Court-Saint-Etienne
1602,Sint-Pieters-Leeuw
1673,Pepingen
1742,Ternat
1853,Grimbergen
1880,Kapelle-op-den-Bos
1910,Kampenhout
1932,Zaventem
2000,Anvers
2018,Anvers
2020,Anvers
2030,Anvers
2050,Anvers
2180,Anvers
2222,Heist-op-den-Berg
2243,Zandhoven
2320,Hoogstraten
2323,Hoogstraten
2440,Geel
2460,Kasterlee
2490,Balen
2491,Balen
2560,Nijlen
2610,Anvers
2650,Edegem
2845,Niel
2850,Boom
2870,Puurs-Sint-Amands
2910,Essen
2920,Kalmthout
2930,Brasschaat
2950,Kapellen
3018,Louvain
3071,Kortenberg
3090,Overijse
3111,Rotselaar
3210,Lubbeek
3270,Montaigu-Zichem
3271,Montaigu-Zichem
3290,Diest
3300,Tirlemont
3321,Hoegaarden
3350,Linter
3370,Boutersem
3470,Kortenaken
3473,Kortenaken
3510,Hasselt
3582,Beringen
3660,Oudsbergen
3720,Hasselt
3740,Bilzen-Hoeselt
3770,Riemst
3792,Fourons
3798,Fourons
3806,Saint-Trond
3950,Bocholt
3970,Bourg-Léopold
3980,Tessenderlo-Ham
4032,Liège
4171,Comblain-au-Pont
4218,Héron
4317,Faimes
4452,Juprelle
4458,Juprelle
4500,Huy
4520,Wanze
4530,Villers-Le-Bouillet
4550,Nandrin
4590,Ouffet
4621,Fléron
4653,Herve
4690,Bassenge
4710,Lontzen
4728,La Calamine
4771,Amblève
4783,Saint-Vith
4784,Saint-Vith
4834,Limbourg
4845,Jalhay
4850,Plombières
4851,Plombières
4900,Spa
5000,Namur
5021,Namur
5031,Gembloux
5330,Assesse
5360,Hamois
5363,Hamois
5501,Dinant
5524,Onhaye
5580,Rochefort
5640,Mettet
5644,Mettet
5660,Couvin
6110,Montigny-le-Tilleul
6182,Courcelles
6183,Courcelles
6210,Les Bons Villers
6221,Fleurus
6223,Fleurus
6238,Pont-à-Celles
6280,Gerpinnes
6463,Chimay
6530,Thuin
6533,Thuin
6536,Thuin
6600,Bastogne
6660,Houffalize
6666,Houffalize
6674,Gouvy
6680,Sainte-Ode
6687,Bastogne
6706,Arlon
6717,Attert
6743,Etalle
6750,Musson
6762,Virton
6782,Messancy
6791,Aubange
6792,Aubange
6821,Florenville
6824,Florenville
6838,Bouillon
6840,Neufchâteau
6880,Bertrix
6900,Marche-en-Famenne
6922,Wellin
6952,Nassogne
6984,La Roche-en-Ardenne
7012,Mons
7020,Mons
7024,Mons
7032,Mons
7041,Quévy
7090,Braine-le-Comte
7120,Estinnes
7131,Binche
7190,Ecaussinnes
7350,Hensies
7500,Tournai
7504,Tournai
7521,Tournai
7531,Tournai
7532,Tournai
7536,Tournai
7538,Tournai
7540,Tournai
7542,Tournai
7610,Rumes
7621,Brunehaut
7643,Antoing
7780,Comines-Warneton
7781,Comines-Warneton
7812,Ath
7850,Enghien
7880,Flobecq
7901,Leuze-en-Hainaut
7943,Brugelette
8211,Zedelgem
8301,Knokke-Heist
8420,De Haan
8430,Middelkerke
8431,Middelkerke
8434,Middelkerke
8470,Gistel
8480,Ichtegem
8540,Deerlijk
8553,Zwevegem
8572,Anzegem
8583,Avelgem
8630,Furnes
8670,Koksijde
8700,Tielt
8720,Dentergem
8770,Ingelmunster
8820,Torhout
8850,Ardooie
8851,Ardooie
8870,Izegem
8930,Menin
8952,Heuvelland
8954,Heuvelland
8958,Heuvelland
9051,Gand
9060,Zelzate
9070,Destelbergen
9090,Merelbeke-Melle
9185,Lochristi
9551,Herzele
9620,Zottegem
9661,Brakel
9870,Zulte
9880,Aalter
9881,Aalter
9960,Assenede
9990,Maldegem
1070,Anderlecht
1081,Koekelberg
1082,Berchem-Sainte-Agathe
1140,Evere
1150,Woluwe-Saint-Pierre
1300,Wavre
1320,Beauvechain
1332,Rixensart
1342,Ottignies-Louvain-la-Neuve
1401,Nivelles
1404,Nivelles
1410,Waterloo
1430,Rebecq
1440,Braine-le-Château
1457,Walhain
1502,Hal
1540,Pajottegem
1541,Pajottegem
1560,Hoeilaart
1600,Sint-Pieters-Leeuw
1630,Linkebeek
1653,Beersel
1671,Pepingen
1701,Dilbeek
1702,Dilbeek
1703,Dilbeek
1761,Roosdaal
1770,Liedekerke
1780,Wemmel
1804,Zemst
1830,Machelen
1850,Grimbergen
1931,Machelen
1982,Zemst
2140,Anvers
2150,Anvers
2221,Heist-op-den-Berg
2288,Grobbendonk
2290,Vorselaar
2328,Hoogstraten
2470,Retie
2530,Boechout
2570,Duffel
2580,Putte
2800,Malines
2820,Bonheiden
2970,Schilde
3053,Oud-Heverlee
3130,Begijnendijk
3140,Keerbergen
3150,Haacht
3220,Holsbeek
3272,Montaigu-Zichem
3293,Diest
3294,Diest
3390,Tielt-Winge
3400,Landen
3440,Léau
3454,Geetbets
3512,Hasselt
3530,Houthalen-Helchteren
3621,Lanaken
3630,Maasmechelen
3631,Maasmechelen
3640,Kinrooi
3650,Dilsen-Stokkem
3665,As
3668,As
3670,Oudsbergen
3680,Maaseik
3732,Bilzen-Hoeselt
3742,Bilzen-Hoeselt
3746,Bilzen-Hoeselt
3790,Fourons
3793,Fourons
3830,Wellen
3890,Gingelom
3900,Pelt
3945,Tessenderlo-Ham
4041,Herstal
4042,Herstal
4160,Anthisnes
4161,Anthisnes
4181,Hamoir
4217,Héron
4250,Geer
4254,Geer
4260,Braives
4287,Lincent
